variant,animal id,age,tissue id,xna,route,tissue,count
AAV.CAP-C2,RM-003,infant,1,DNA,lp,liver,83464
AAV9,RM-003,infant,1,DNA,lp,brain,12
AAV9,RM-003,infant,2,DNA,lp,brain,144
AAV9,RM-003,infant,3,DNA,lp,brain,431
AAV9,RM-003,infant,4,DNA,lp,brain,159
AAV9,RM-003,infant,5,DNA,lp,brain,22079
AAV9,RM-003,infant,6,DNA,lp,brain,22368
AAV9,RM-003,infant,7,DNA,lp,brain,76368
AAV9,RM-003,infant,8,DNA,lp,brain,10
AAV9,RM-003,infant,9,DNA,lp,brain,17
AAV9,RM-003,infant,10,DNA,lp,brain,21
AAV9,RM-003,infant,1,DNA,lp,liver,114618
AAV.CAP-B22,RM-003,infant,1,DNA,lp,brain,37
AAV.CAP-B22,RM-003,infant,2,DNA,lp,brain,142
AAV.CAP-B22,RM-003,infant,3,DNA,lp,brain,449
AAV.CAP-B22,RM-003,infant,4,DNA,lp,brain,88
AAV.CAP-B22,RM-003,infant,5,DNA,lp,brain,12584
AAV.CAP-B22,RM-003,infant,6,DNA,lp,brain,16941
AAV.CAP-B22,RM-003,infant,7,DNA,lp,brain,32705
AAV.CAP-B22,RM-003,infant,8,DNA,lp,brain,0
AAV.CAP-B22,RM-003,infant,9,DNA,lp,brain,7
AAV.CAP-B22,RM-003,infant,10,DNA,lp,brain,24
AAV.CAP-B22,RM-003,infant,1,DNA,lp,liver,56029
AAV.CAP-B10,RM-003,infant,1,DNA,lp,brain,0
AAV.CAP-B10,RM-003,infant,2,DNA,lp,brain,45
AAV.CAP-B10,RM-003,infant,3,DNA,lp,brain,78
AAV.CAP-B10,RM-003,infant,4,DNA,lp,brain,7
AAV.CAP-B10,RM-003,infant,5,DNA,lp,brain,2030
AAV.CAP-B10,RM-003,infant,6,DNA,lp,brain,3538
AAV.CAP-B10,RM-003,infant,7,DNA,lp,brain,121
AAV.CAP-B10,RM-003,infant,8,DNA,lp,brain,31
AAV.CAP-B10,RM-003,infant,9,DNA,lp,brain,0
AAV.CAP-B10,RM-003,infant,10,DNA,lp,brain,0
AAV.CAP-B10,RM-003,infant,1,DNA,lp,liver,45792
AAV9.452sub-LUNG1,RM-004,infant,1,RNA,lp,brain,22116221
AAV9.452sub-LUNG1,RM-004,infant,2,RNA,lp,brain,342466
AAV9.452sub-LUNG1,RM-004,infant,3,RNA,lp,brain,5337
AAV9.452sub-LUNG1,RM-004,infant,4,RNA,lp,brain,170819
AAV9.452sub-LUNG1,RM-004,infant,5,RNA,lp,brain,210713
AAV9.452sub-LUNG1,RM-004,infant,6,RNA,lp,brain,207467
AAV9.452sub-LUNG1,RM-004,infant,7,RNA,lp,brain,95805
AAV9.452sub-LUNG1,RM-004,infant,8,RNA,lp,brain,5620
AAV9.452sub-LUNG1,RM-004,infant,9,RNA,lp,brain,76495
AAV9.452sub-LUNG1,RM-004,infant,10,RNA,lp,brain,175202
AAV9.452sub-LUNG1,RM-004,infant,1,RNA,lp,liver,173127
AAV.CAP-Mac,RM-004,infant,1,RNA,lp,brain,16543123
AAV.CAP-Mac,RM-004,infant,2,RNA,lp,brain,337788
AAV.CAP-Mac,RM-004,infant,3,RNA,lp,brain,4469
AAV.CAP-Mac,RM-004,infant,4,RNA,lp,brain,272921
AAV.CAP-Mac,RM-004,infant,5,RNA,lp,brain,171155
AAV.CAP-Mac,RM-004,infant,6,RNA,lp,brain,247787
AAV.CAP-Mac,RM-004,infant,7,RNA,lp,brain,131837
AAV.CAP-Mac,RM-004,infant,8,RNA,lp,brain,5180
AAV.CAP-Mac,RM-004,infant,9,RNA,lp,brain,169741
AAV.CAP-Mac,RM-004,infant,10,RNA,lp,brain,673400
AAV.CAP-Mac,RM-004,infant,1,RNA,lp,liver,219771
AAV.CAP-B2,RM-004,infant,1,RNA,lp,brain,6773212
AAV.CAP-B2,RM-004,infant,2,RNA,lp,brain,187946
AAV.CAP-B2,RM-004,infant,3,RNA,lp,brain,1593
AAV.CAP-B2,RM-004,infant,4,RNA,lp,brain,109347
AAV.CAP-B2,RM-004,infant,5,RNA,lp,brain,64939
AAV.CAP-B2,RM-004,infant,6,RNA,lp,brain,46151
AAV.CAP-B2,RM-004,infant,7,RNA,lp,brain,47215
AAV.CAP-B2,RM-004,infant,8,RNA,lp,brain,937
AAV.CAP-B2,RM-004,infant,9,RNA,lp,brain,53836
AAV.CAP-B2,RM-004,infant,10,RNA,lp,brain,137368
AAV.CAP-B2,RM-004,infant,1,RNA,lp,liver,11343
AAV.CAP-C2,RM-004,infant,1,RNA,lp,brain,2518497
AAV.CAP-C2,RM-004,infant,2,RNA,lp,brain,68145
AAV.CAP-C2,RM-004,infant,3,RNA,lp,brain,470
AAV.CAP-C2,RM-004,infant,4,RNA,lp,brain,33629
AAV.CAP-C2,RM-004,infant,5,RNA,lp,brain,30636
AAV.CAP-C2,RM-004,infant,6,RNA,lp,brain,42988
AAV.CAP-C2,RM-004,infant,7,RNA,lp,brain,6070
AAV.CAP-C2,RM-004,infant,8,RNA,lp,brain,402
AAV.CAP-C2,RM-004,infant,9,RNA,lp,brain,20261
AAV.CAP-C2,RM-004,infant,10,RNA,lp,brain,77629
AAV.CAP-C2,RM-004,infant,1,RNA,lp,liver,9094
AAV9,RM-004,infant,1,RNA,lp,brain,2308256
AAV9,RM-004,infant,2,RNA,lp,brain,52025
AAV9,RM-004,infant,3,RNA,lp,brain,502
AAV9,RM-004,infant,4,RNA,lp,brain,20220
AAV9,RM-004,infant,5,RNA,lp,brain,41782
AAV9,RM-004,infant,6,RNA,lp,brain,32385
AAV9,RM-004,infant,7,RNA,lp,brain,2069
AAV9,RM-004,infant,8,RNA,lp,brain,840
AAV9,RM-004,infant,9,RNA,lp,brain,13260
AAV9,RM-004,infant,10,RNA,lp,brain,40391
AAV9,RM-004,infant,1,RNA,lp,liver,181851
AAV.CAP-B22,RM-004,infant,1,RNA,lp,brain,3084891
AAV.CAP-B22,RM-004,infant,2,RNA,lp,brain,37762
AAV.CAP-B22,RM-004,infant,3,RNA,lp,brain,390
AAV.CAP-B22,RM-004,infant,4,RNA,lp,brain,8554
AAV.CAP-B22,RM-004,infant,5,RNA,lp,brain,32815
AAV.CAP-B22,RM-004,infant,6,RNA,lp,brain,13286
